Date,BUD
10/1/2012 16:00,85.55
10/2/2012 16:00,88.43
10/3/2012 16:00,88.38
10/4/2012 16:00,88.67
10/5/2012 16:00,90.27
10/8/2012 16:00,89.65
10/9/2012 16:00,87.31
10/10/2012 16:00,86.74
10/11/2012 16:00,86.92
10/12/2012 16:00,86.82
10/15/2012 16:00,86.91
10/16/2012 16:00,88.87
10/17/2012 16:00,88.55
10/18/2012 16:00,86.37
10/19/2012 16:00,85.57
10/22/2012 16:00,86.18
10/23/2012 16:00,86.09
10/24/2012 16:00,85.46
10/25/2012 16:00,85.53
10/26/2012 16:00,85.21
10/31/2012 16:00,83.8
11/1/2012 16:00,82.78
11/2/2012 16:00,83.44
11/5/2012 16:00,82.27
11/6/2012 16:00,83.57
11/7/2012 16:00,82.17
11/8/2012 16:00,81.94
11/9/2012 16:00,82.72
11/12/2012 16:00,83.11
11/13/2012 16:00,83.64
11/14/2012 16:00,82.22
11/15/2012 16:00,82.79
11/16/2012 16:00,82.76
11/19/2012 16:00,84.67
11/20/2012 16:00,85.89
11/21/2012 16:00,85.1
11/23/2012 16:00,86.98
11/26/2012 16:00,86.71
11/27/2012 16:00,86.12
11/28/2012 16:00,85.56
11/29/2012 16:00,86.43
11/30/2012 16:00,87.97
12/3/2012 16:00,88.29
12/4/2012 16:00,88.28
12/5/2012 16:00,87.6
12/6/2012 16:00,87.47
12/7/2012 16:00,87.75
12/10/2012 16:00,88.21
12/11/2012 16:00,89.07
12/12/2012 16:00,87.72
12/13/2012 16:00,87.34
12/14/2012 16:00,88.32
12/17/2012 16:00,87.19
12/18/2012 16:00,88.31
12/19/2012 16:00,88.83
12/20/2012 16:00,88.55
12/21/2012 16:00,87.5
12/24/2012 16:00,87.54
12/26/2012 16:00,87.44
12/27/2012 16:00,87.96
12/28/2012 16:00,86.81
12/31/2012 16:00,87.41
1/2/2013 16:00,89.04
1/3/2013 16:00,86.85
1/4/2013 16:00,88.41
1/7/2013 16:00,87.6
1/8/2013 16:00,86.29
1/9/2013 16:00,84.29
1/10/2013 16:00,86.61
1/11/2013 16:00,87.6
1/14/2013 16:00,87.3
1/15/2013 16:00,88.69
1/16/2013 16:00,88.99
1/17/2013 16:00,88.91
1/18/2013 16:00,89.72
1/22/2013 16:00,90.84
1/23/2013 16:00,90.12
1/24/2013 16:00,90.26
1/25/2013 16:00,91.71
1/28/2013 16:00,91.81
1/29/2013 16:00,93.24
1/30/2013 16:00,94.14
1/31/2013 16:00,88.6
2/1/2013 16:00,92.28
2/4/2013 16:00,87.67
2/5/2013 16:00,88.08
2/6/2013 16:00,87.37
2/7/2013 16:00,86.4
2/8/2013 16:00,85.74
2/11/2013 16:00,86.27
2/12/2013 16:00,87.52
2/13/2013 16:00,88.26
2/14/2013 16:00,92.76
2/15/2013 16:00,92.73
2/19/2013 16:00,93.09
2/20/2013 16:00,92.87
2/21/2013 16:00,92.06
2/22/2013 16:00,93.38
2/25/2013 16:00,91.92
2/26/2013 16:00,91.8
2/27/2013 16:00,93.69
2/28/2013 16:00,93.99
3/1/2013 16:00,94.54
3/4/2013 16:00,94.53
3/5/2013 16:00,94.7
3/6/2013 16:00,94.12
3/7/2013 16:00,95.58
3/8/2013 16:00,97.14
3/11/2013 16:00,96.98
3/12/2013 16:00,95.83
3/13/2013 16:00,95.67
3/14/2013 16:00,96.26
3/15/2013 16:00,95.43
3/18/2013 16:00,95.62
3/19/2013 16:00,95.28
3/20/2013 16:00,96.13
3/21/2013 16:00,95.67
3/22/2013 16:00,98.1
3/25/2013 16:00,97.39
3/26/2013 16:00,98.69
3/27/2013 16:00,97.45
3/28/2013 16:00,99.55
4/1/2013 16:00,99.32
4/2/2013 16:00,100.14
4/3/2013 16:00,99.08
4/4/2013 16:00,99.55
4/5/2013 16:00,97.6
4/8/2013 16:00,99.23
4/9/2013 16:00,98.73
4/10/2013 16:00,101.84
4/11/2013 16:00,100.88
4/12/2013 16:00,100.38
4/15/2013 16:00,98.23
4/16/2013 16:00,99.34
4/17/2013 16:00,96.74
4/18/2013 16:00,97.57
4/19/2013 16:00,99.22
4/22/2013 16:00,99.02
4/23/2013 16:00,97.43
4/24/2013 16:00,96.28
4/25/2013 16:00,96.21
4/26/2013 16:00,94.13
4/29/2013 16:00,95.48
4/30/2013 16:00,95.62
5/1/2013 16:00,94.89
5/2/2013 16:00,95.25
5/3/2013 16:00,96.2
5/6/2013 16:00,95.8
5/7/2013 16:00,96.32
5/8/2013 16:00,97.77
5/9/2013 16:00,96.26
5/10/2013 16:00,96.75
5/13/2013 16:00,97.54
5/14/2013 16:00,98.49
5/15/2013 16:00,97.76
5/16/2013 16:00,96.72
5/17/2013 16:00,96.37
5/20/2013 16:00,95.48
5/21/2013 16:00,95.6
5/22/2013 16:00,95.27
5/23/2013 16:00,95.6
5/24/2013 16:00,95.61
5/28/2013 16:00,95.79
5/29/2013 16:00,93.77
5/30/2013 16:00,94.2
5/31/2013 16:00,91.92
6/3/2013 16:00,92.31
6/4/2013 16:00,92.33
6/5/2013 16:00,90.53
6/6/2013 16:00,92.7
6/7/2013 16:00,94.41
6/10/2013 16:00,93.72
6/11/2013 16:00,92.76
6/12/2013 16:00,92.68
6/13/2013 16:00,93.27
6/14/2013 16:00,93.73
6/17/2013 16:00,94.67
6/18/2013 16:00,93.64
6/19/2013 16:00,91.76
6/20/2013 16:00,87.48
6/21/2013 16:00,87.24
6/24/2013 16:00,86.64
6/25/2013 16:00,86.92
6/26/2013 16:00,88.67
6/27/2013 16:00,90.04
6/28/2013 16:00,90.26
7/1/2013 16:00,90.77
7/2/2013 16:00,89.39
7/3/2013 16:00,87.46
7/5/2013 16:00,88
7/8/2013 16:00,89.66
7/9/2013 16:00,90.02
7/10/2013 16:00,90.95
7/11/2013 16:00,92.93
7/12/2013 16:00,91.66
7/15/2013 16:00,91.93
7/16/2013 16:00,91.81
7/17/2013 16:00,90.79
7/18/2013 16:00,89.65
7/19/2013 16:00,89.43
7/22/2013 16:00,89.22
7/23/2013 16:00,88.56
7/24/2013 16:00,89.33
7/25/2013 16:00,88.92
7/26/2013 16:00,89.33
7/29/2013 16:00,88.79
7/30/2013 16:00,89.97
7/31/2013 16:00,95.71
8/1/2013 16:00,97.94
8/2/2013 16:00,98.15
8/5/2013 16:00,98.26
8/6/2013 16:00,98.42
8/7/2013 16:00,99.02
8/8/2013 16:00,101.01
8/9/2013 16:00,99.32
8/12/2013 16:00,100.03
8/13/2013 16:00,100.22
8/14/2013 16:00,98.95
8/15/2013 16:00,98.08
8/16/2013 16:00,97.63
8/19/2013 16:00,97.01
8/20/2013 16:00,96.5
8/21/2013 16:00,96.24
8/22/2013 16:00,96.49
8/23/2013 16:00,97.36
8/26/2013 16:00,96.85
8/27/2013 16:00,94.84
8/28/2013 16:00,94
8/29/2013 16:00,93.95
8/30/2013 16:00,93.35
9/3/2013 16:00,94.84
9/4/2013 16:00,95.52
9/5/2013 16:00,94.73
9/6/2013 16:00,95.77
9/9/2013 16:00,95.66
9/10/2013 16:00,96.4
9/11/2013 16:00,97.65
9/12/2013 16:00,96.8
9/13/2013 16:00,98.34
9/16/2013 16:00,99.68
9/17/2013 16:00,99.66
9/18/2013 16:00,102.43
9/19/2013 16:00,102.57
9/20/2013 16:00,100.56
9/23/2013 16:00,99.55
9/24/2013 16:00,99.11
9/25/2013 16:00,99.46
9/26/2013 16:00,100.21
9/27/2013 16:00,99.61
9/30/2013 16:00,99.2
10/1/2013 16:00,98.69
10/2/2013 16:00,98.38
10/3/2013 16:00,98.2
10/4/2013 16:00,98.96
10/7/2013 16:00,97.72
10/8/2013 16:00,96.76
10/9/2013 16:00,95.84
10/10/2013 16:00,97.44
10/11/2013 16:00,98.41
10/14/2013 16:00,98.77
10/15/2013 16:00,98.07
10/16/2013 16:00,98.86
10/17/2013 16:00,101
10/18/2013 16:00,102.7
10/21/2013 16:00,102.63
10/22/2013 16:00,103.69
10/23/2013 16:00,103.06
10/24/2013 16:00,103.18
10/25/2013 16:00,104.71
10/28/2013 16:00,104.28
10/29/2013 16:00,104.34
10/30/2013 16:00,103.24
10/31/2013 16:00,103.73
11/1/2013 16:00,102.58
11/4/2013 16:00,102.37
11/5/2013 16:00,102.25
11/6/2013 16:00,103.8
11/7/2013 16:00,101.53
11/8/2013 16:00,102.8
11/11/2013 16:00,104.35
11/12/2013 16:00,103.85
11/13/2013 16:00,103.76
11/14/2013 16:00,104.71
11/15/2013 16:00,104.62
11/18/2013 16:00,104.83
11/19/2013 16:00,104.49
11/20/2013 16:00,103.54
11/21/2013 16:00,103.55
11/22/2013 16:00,103.36
11/25/2013 16:00,102.4
11/26/2013 16:00,102.72
11/27/2013 16:00,102.72
11/29/2013 16:00,102.11
12/2/2013 16:00,102.08
12/3/2013 16:00,101.74
12/4/2013 16:00,101.5
12/5/2013 16:00,100.72
12/6/2013 16:00,102.63
12/9/2013 16:00,102.49
12/10/2013 16:00,102.07
12/11/2013 16:00,101.41
12/12/2013 16:00,100.43
12/13/2013 16:00,100.21
12/16/2013 16:00,102.1
12/17/2013 16:00,101.49
12/18/2013 16:00,103.39
12/19/2013 16:00,103.18
12/20/2013 16:00,103.37
12/23/2013 16:00,103.66
12/24/2013 16:00,103.75
12/26/2013 16:00,105.06
12/27/2013 16:00,106.04
12/30/2013 16:00,105.36
12/31/2013 16:00,106.46
1/2/2014 16:00,103.55
1/3/2014 16:00,103.74
1/6/2014 16:00,102.54
1/7/2014 16:00,104.48
1/8/2014 16:00,104.93
1/9/2014 16:00,104.93
