Date,PDX
10/1/2012 16:00,103.9
10/2/2012 16:00,104.67
10/3/2012 16:00,102.93
10/4/2012 16:00,104
10/5/2012 16:00,102.94
10/8/2012 16:00,102.59
10/9/2012 16:00,105.33
10/10/2012 16:00,102.56
10/11/2012 16:00,104.11
10/12/2012 16:00,102.15
10/15/2012 16:00,105.47
10/16/2012 16:00,108.36
10/17/2012 16:00,108.18
10/18/2012 16:00,107.78
10/19/2012 16:00,105.3
10/22/2012 16:00,104.84
10/23/2012 16:00,102.55
10/24/2012 16:00,101.65
10/25/2012 16:00,104.27
10/26/2012 16:00,103.63
10/31/2012 16:00,105.65
11/1/2012 16:00,109.34
11/2/2012 16:00,105.96
11/5/2012 16:00,107.77
11/6/2012 16:00,109.1
11/7/2012 16:00,105.56
11/8/2012 16:00,102.35
11/9/2012 16:00,103.9
11/12/2012 16:00,102.74
11/13/2012 16:00,103.63
11/14/2012 16:00,101.79
11/15/2012 16:00,102.82
11/16/2012 16:00,102.78
11/19/2012 16:00,105.15
11/20/2012 16:00,105.52
11/21/2012 16:00,106.22
11/23/2012 16:00,107.99
11/26/2012 16:00,106.35
11/27/2012 16:00,104.83
11/28/2012 16:00,104.74
11/29/2012 16:00,106.64
11/30/2012 16:00,107
12/3/2012 16:00,104.83
12/4/2012 16:00,102.39
12/5/2012 16:00,104.85
12/6/2012 16:00,103.25
12/7/2012 16:00,102.95
12/10/2012 16:00,101.7
12/11/2012 16:00,104.23
12/12/2012 16:00,105.6
12/13/2012 16:00,103.18
12/14/2012 16:00,102.95
12/17/2012 16:00,104.52
12/18/2012 16:00,107.75
12/19/2012 16:00,107.22
12/20/2012 16:00,108.79
12/21/2012 16:00,108.52
12/24/2012 16:00,107.63
12/26/2012 16:00,106.3
12/27/2012 16:00,104.95
12/28/2012 16:00,102.41
12/31/2012 16:00,106.59
1/2/2013 16:00,109.75
1/3/2013 16:00,111.32
1/4/2013 16:00,113.17
1/7/2013 16:00,112.13
1/8/2013 16:00,112.41
1/9/2013 16:00,111.2
1/10/2013 16:00,112.56
1/11/2013 16:00,111.85
1/14/2013 16:00,111.74
1/15/2013 16:00,110.86
1/16/2013 16:00,113
1/17/2013 16:00,114.14
1/18/2013 16:00,113.73
1/22/2013 16:00,114.41
1/23/2013 16:00,112
1/24/2013 16:00,113.87
1/25/2013 16:00,115.61
1/28/2013 16:00,114.99
1/29/2013 16:00,117.37
1/30/2013 16:00,116.21
1/31/2013 16:00,117.54
2/1/2013 16:00,119.92
2/4/2013 16:00,119.67
2/5/2013 16:00,121.62
2/6/2013 16:00,125.11
2/7/2013 16:00,124.54
2/8/2013 16:00,128.97
2/11/2013 16:00,128.55
2/12/2013 16:00,128.5
2/13/2013 16:00,126.76
2/14/2013 16:00,130.05
2/15/2013 16:00,130.56
2/19/2013 16:00,132.45
2/20/2013 16:00,127.84
2/21/2013 16:00,125.52
2/22/2013 16:00,127
2/25/2013 16:00,121.09
2/26/2013 16:00,124.28
2/27/2013 16:00,126.1
2/28/2013 16:00,125.81
3/1/2013 16:00,123.69
3/4/2013 16:00,123
3/5/2013 16:00,125.23
3/6/2013 16:00,125.11
3/7/2013 16:00,127.65
3/8/2013 16:00,127.64
3/11/2013 16:00,127.67
3/12/2013 16:00,127.11
3/13/2013 16:00,126.29
3/14/2013 16:00,127.62
3/15/2013 16:00,129.31
3/18/2013 16:00,126.99
3/19/2013 16:00,124.02
3/20/2013 16:00,124.46
3/21/2013 16:00,121.83
3/22/2013 16:00,122.73
3/25/2013 16:00,122.12
3/26/2013 16:00,126.07
3/27/2013 16:00,126.25
3/28/2013 16:00,124.25
4/1/2013 16:00,122.91
4/2/2013 16:00,123.48
4/3/2013 16:00,120.93
4/4/2013 16:00,117.82
4/5/2013 16:00,118.59
4/8/2013 16:00,121.38
4/9/2013 16:00,123.2
4/10/2013 16:00,122.9
4/11/2013 16:00,123.52
4/12/2013 16:00,118.61
4/15/2013 16:00,110.17
4/16/2013 16:00,113.61
4/17/2013 16:00,111.59
4/18/2013 16:00,112.35
4/19/2013 16:00,110.59
4/22/2013 16:00,112.71
4/23/2013 16:00,113.78
4/24/2013 16:00,115.72
4/25/2013 16:00,117.49
4/26/2013 16:00,118.12
4/29/2013 16:00,121.01
4/30/2013 16:00,122.23
5/1/2013 16:00,118.97
5/2/2013 16:00,126.31
5/3/2013 16:00,129.64
5/6/2013 16:00,133.54
5/7/2013 16:00,137.79
5/8/2013 16:00,138.07
5/9/2013 16:00,136.97
5/10/2013 16:00,137.13
5/13/2013 16:00,137.72
5/14/2013 16:00,139.95
5/15/2013 16:00,138.83
5/16/2013 16:00,138.58
5/17/2013 16:00,142.25
5/20/2013 16:00,140.15
5/21/2013 16:00,138.97
5/22/2013 16:00,143.53
5/23/2013 16:00,144.02
5/24/2013 16:00,141.2
5/28/2013 16:00,145.24
5/29/2013 16:00,144.65
5/30/2013 16:00,144.47
5/31/2013 16:00,138.68
6/3/2013 16:00,140.83
6/4/2013 16:00,140
6/5/2013 16:00,138
6/6/2013 16:00,142.02
6/7/2013 16:00,144.29
6/10/2013 16:00,145.56
6/11/2013 16:00,143.13
6/12/2013 16:00,142.88
6/13/2013 16:00,146.95
6/14/2013 16:00,146.62
6/17/2013 16:00,152.32
6/18/2013 16:00,154.65
6/19/2013 16:00,153.06
6/20/2013 16:00,146.29
6/21/2013 16:00,144.61
6/24/2013 16:00,145.24
6/25/2013 16:00,148.01
6/26/2013 16:00,147.17
6/27/2013 16:00,146.71
6/28/2013 16:00,144.75
7/1/2013 16:00,148.73
7/2/2013 16:00,149.9
7/3/2013 16:00,148.75
7/5/2013 16:00,152.55
7/8/2013 16:00,150.6
7/9/2013 16:00,153.49
7/10/2013 16:00,152.08
7/11/2013 16:00,153.45
7/12/2013 16:00,153.43
7/15/2013 16:00,152.51
7/16/2013 16:00,152.59
7/17/2013 16:00,153.41
7/18/2013 16:00,156.23
7/19/2013 16:00,157.84
7/22/2013 16:00,155.86
7/23/2013 16:00,155.1
7/24/2013 16:00,153
7/25/2013 16:00,154.76
7/26/2013 16:00,154.78
7/29/2013 16:00,154.89
7/30/2013 16:00,153.33
7/31/2013 16:00,154.76
8/1/2013 16:00,174.15
8/2/2013 16:00,181.21
8/5/2013 16:00,180.08
8/6/2013 16:00,176.67
8/7/2013 16:00,175.67
8/8/2013 16:00,176.35
8/9/2013 16:00,175.62
8/12/2013 16:00,174.19
8/13/2013 16:00,174.06
8/14/2013 16:00,169.96
8/15/2013 16:00,169.15
8/16/2013 16:00,170.29
8/19/2013 16:00,166.36
8/20/2013 16:00,167.64
8/21/2013 16:00,166.78
8/22/2013 16:00,170.34
8/23/2013 16:00,172.2
8/26/2013 16:00,172.96
8/27/2013 16:00,171.1
8/28/2013 16:00,176.77
8/29/2013 16:00,173.78
8/30/2013 16:00,174.97
9/3/2013 16:00,179.8
9/4/2013 16:00,182
9/5/2013 16:00,182
9/6/2013 16:00,180.86
9/9/2013 16:00,182.21
9/10/2013 16:00,180.99
9/11/2013 16:00,186.36
9/12/2013 16:00,186.81
9/13/2013 16:00,184.83
9/16/2013 16:00,185
9/17/2013 16:00,184.6
9/18/2013 16:00,187.57
9/19/2013 16:00,185.81
9/20/2013 16:00,182.74
9/23/2013 16:00,182.8
9/24/2013 16:00,184.55
9/25/2013 16:00,186.13
9/26/2013 16:00,188.23
9/27/2013 16:00,188.78
9/30/2013 16:00,188.8
10/1/2013 16:00,194.46
10/2/2013 16:00,195.47
10/3/2013 16:00,197.03
10/4/2013 16:00,201.35
10/7/2013 16:00,196.02
10/8/2013 16:00,192.05
10/9/2013 16:00,190.01
10/10/2013 16:00,192.71
10/11/2013 16:00,195
10/14/2013 16:00,195.01
10/15/2013 16:00,199.72
10/16/2013 16:00,211.86
10/17/2013 16:00,215.78
10/18/2013 16:00,224.95
10/21/2013 16:00,220.16
10/22/2013 16:00,208.51
10/23/2013 16:00,205.02
10/24/2013 16:00,209.88
10/25/2013 16:00,210.77
10/28/2013 16:00,206.87
10/29/2013 16:00,213.67
10/30/2013 16:00,208.9
10/31/2013 16:00,204.78
11/1/2013 16:00,205.29
11/4/2013 16:00,213.41
11/5/2013 16:00,210.36
11/6/2013 16:00,198.55
11/7/2013 16:00,186.16
11/8/2013 16:00,189.83
11/11/2013 16:00,188.38
11/12/2013 16:00,182.75
11/13/2013 16:00,195.44
11/14/2013 16:00,195.36
11/15/2013 16:00,194.55
11/18/2013 16:00,186.04
11/19/2013 16:00,183.4
11/20/2013 16:00,183.13
11/21/2013 16:00,186.72
11/22/2013 16:00,186.68
11/25/2013 16:00,181.04
11/26/2013 16:00,183.54
11/27/2013 16:00,178.91
11/29/2013 16:00,177.75
12/2/2013 16:00,178.11
12/3/2013 16:00,181.4
12/4/2013 16:00,185.27
12/5/2013 16:00,184.44
12/6/2013 16:00,177.21
12/9/2013 16:00,177.44
12/10/2013 16:00,178.66
12/11/2013 16:00,176.43
12/12/2013 16:00,179.08
12/13/2013 16:00,179.75
12/16/2013 16:00,179.52
12/17/2013 16:00,182.43
12/18/2013 16:00,183.95
12/19/2013 16:00,187.55
12/20/2013 16:00,187.29
12/23/2013 16:00,185.19
12/24/2013 16:00,183.84
12/26/2013 16:00,186.32
12/27/2013 16:00,187.58
12/30/2013 16:00,181.7
12/31/2013 16:00,184.07
1/2/2014 16:00,176.53
1/3/2014 16:00,176.05
1/6/2014 16:00,174.06
1/7/2014 16:00,175.17
1/8/2014 16:00,175.37
1/9/2014 16:00,171.52
1/10/2014 16:00,169.75
1/13/2014 16:00,164.78
1/14/2014 16:00,172.17
1/15/2014 16:00,172.96
1/16/2014 16:00,175.52
1/17/2014 16:00,174.7
1/21/2014 16:00,179.73
1/22/2014 16:00,183.99
1/23/2014 16:00,179.74
1/24/2014 16:00,172.73
1/27/2014 16:00,171.27
1/28/2014 16:00,174.49
1/29/2014 16:00,167.69
1/30/2014 16:00,172.39
1/31/2014 16:00,169.32
2/3/2014 16:00,165.21
2/4/2014 16:00,171.91
2/5/2014 16:00,174.95
2/6/2014 16:00,180.18
2/7/2014 16:00,185.06
2/10/2014 16:00,186.93
2/11/2014 16:00,180.66
2/12/2014 16:00,180.17
2/13/2014 16:00,179.5
2/14/2014 16:00,185.3
2/18/2014 16:00,189.88
2/19/2014 16:00,188.04
2/20/2014 16:00,189.6
2/21/2014 16:00,187.08
2/24/2014 16:00,194.74
2/25/2014 16:00,193.4
2/26/2014 16:00,191.83
2/27/2014 16:00,195
2/28/2014 16:00,201.18
3/3/2014 16:00,202.49
3/4/2014 16:00,204.51
3/5/2014 16:00,198.87
3/6/2014 16:00,198.32
3/7/2014 16:00,196
3/10/2014 16:00,194.92
3/11/2014 16:00,188.58
3/12/2014 16:00,186.68
3/13/2014 16:00,182.89
3/14/2014 16:00,186.27
3/17/2014 16:00,185.57
3/18/2014 16:00,188.1
3/19/2014 16:00,185.47
3/20/2014 16:00,184.54
3/21/2014 16:00,186.09
3/24/2014 16:00,181.85
3/25/2014 16:00,180.94
3/26/2014 16:00,179.91
3/27/2014 16:00,185.44
3/28/2014 16:00,188.85
3/31/2014 16:00,187.14
4/1/2014 16:00,185.71
4/2/2014 16:00,193.13
